UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 21:35 ?        00:00:01 /sbin/init
root         2     0  0 21:35 ?        00:00:00 [kthreadd]
root         3     2  0 21:35 ?        00:00:01 [ksoftirqd/0]
root         5     2  0 21:35 ?        00:00:00 [kworker/0:0H]
root         6     2  0 21:35 ?        00:00:01 [kworker/u2:0]
root         7     2  0 21:35 ?        00:00:00 [rcu_sched]
root         8     2  0 21:35 ?        00:00:00 [rcu_bh]
root         9     2  0 21:35 ?        00:00:00 [rcuos/0]
root        10     2  0 21:35 ?        00:00:00 [rcuob/0]
root        11     2  0 21:35 ?        00:00:00 [migration/0]
root        12     2  0 21:35 ?        00:00:00 [watchdog/0]
root        13     2  0 21:35 ?        00:00:00 [khelper]
root        14     2  0 21:35 ?        00:00:00 [kdevtmpfs]
root        15     2  0 21:35 ?        00:00:00 [netns]
root        16     2  0 21:35 ?        00:00:00 [perf]
root        17     2  0 21:35 ?        00:00:00 [khungtaskd]
root        18     2  0 21:35 ?        00:00:00 [writeback]
root        19     2  0 21:35 ?        00:00:00 [ksmd]
root        20     2  0 21:35 ?        00:00:00 [khugepaged]
root        21     2  0 21:35 ?        00:00:00 [crypto]
root        22     2  0 21:35 ?        00:00:00 [kintegrityd]
root        23     2  0 21:35 ?        00:00:00 [bioset]
root        24     2  0 21:35 ?        00:00:00 [kblockd]
root        25     2  0 21:35 ?        00:00:00 [ata_sff]
root        26     2  0 21:35 ?        00:00:00 [md]
root        27     2  0 21:35 ?        00:00:00 [devfreq_wq]
root        31     2  0 21:35 ?        00:00:00 [kswapd0]
root        32     2  0 21:35 ?        00:00:00 [fsnotify_mark]
root        33     2  0 21:35 ?        00:00:00 [ecryptfs-kthrea]
root        44     2  0 21:35 ?        00:00:00 [kthrotld]
root        45     2  0 21:35 ?        00:00:00 [acpi_thermal_pm]
root        46     2  0 21:35 ?        00:00:00 [scsi_eh_0]
root        47     2  0 21:35 ?        00:00:00 [scsi_tmf_0]
root        48     2  0 21:35 ?        00:00:00 [scsi_eh_1]
root        49     2  0 21:35 ?        00:00:00 [scsi_tmf_1]
root        55     2  0 21:35 ?        00:00:00 [ipv6_addrconf]
root        74     2  0 21:35 ?        00:00:00 [deferwq]
root        75     2  0 21:35 ?        00:00:00 [charger_manager]
root       124     2  0 21:35 ?        00:00:00 [kpsmoused]
root       126     2  0 21:35 ?        00:00:00 [scsi_eh_2]
root       127     2  0 21:35 ?        00:00:00 [scsi_tmf_2]
root       136     2  0 21:35 ?        00:00:00 [kworker/0:1H]
root       137     2  0 21:35 ?        00:00:00 [jbd2/sda1-8]
root       138     2  0 21:35 ?        00:00:00 [ext4-rsv-conver]
root       261     1  0 21:35 ?        00:00:00 upstart-udev-bridge --daemon
root       266     1  0 21:35 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
root       332     2  0 21:35 ?        00:00:00 [iprt-VBoxWQueue]
root       396     1  0 21:35 ?        00:00:00 upstart-socket-bridge --daemon
message+   576     1  0 21:35 ?        00:00:00 dbus-daemon --system --fork
syslog     598     1  0 21:35 ?        00:00:00 rsyslogd
root       602     1  0 21:35 ?        00:00:00 /usr/sbin/ModemManager
root       616     1  0 21:35 ?        00:00:00 upstart-file-bridge --daemon
root       685     1  0 21:35 ?        00:00:00 /lib/systemd/systemd-logind
root       698     1  0 21:35 ?        00:00:00 /usr/sbin/bluetoothd
root       706     2  0 21:35 ?        00:00:00 [krfcommd]
avahi      709     1  0 21:35 ?        00:00:00 avahi-daemon: running [prashanth-VirtualBox.local]
avahi      720   709  0 21:35 ?        00:00:00 avahi-daemon: chroot helper
root       747     1  0 21:35 tty4     00:00:00 /sbin/getty -8 38400 tty4
root       751     1  0 21:35 tty5     00:00:00 /sbin/getty -8 38400 tty5
root       759     1  0 21:35 tty2     00:00:00 /sbin/getty -8 38400 tty2
root       760     1  0 21:35 tty3     00:00:00 /sbin/getty -8 38400 tty3
root       763     1  0 21:35 tty6     00:00:00 /sbin/getty -8 38400 tty6
root       799     1  0 21:35 ?        00:00:00 /usr/sbin/sshd -D
root       815     1  0 21:35 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root       863     1  0 21:35 ?        00:00:00 /usr/sbin/cups-browsed
root       875     1  0 21:35 ?        00:00:00 cron
root      1009     1  0 21:35 ?        00:00:00 NetworkManager
root      1021     1  0 21:35 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
